"Credit Limit","Credit Limit"
"Aheadworks Credit Limit","Aheadworks Credit Limit"
"Enabled","Enabled"
"Title","Title"
"New Order Status","New Order Status"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Sort Order","Sort Order"
"Credit Limit per Customer Group","Credit Limit per Customer Group"
"Customer Group","Customer Group"
"Add New","Add New"
"Credit Limit by Aheadworks","Credit Limit by Aheadworks"
"Credit Summary","Credit Summary"
"Customer ID","Customer ID"
"Customer Name","Customer Name"
"Customer Group","Customer Group"
"Customer Email","Customer Email"
"Credit Balance","Credit Balance"
"Available Credit","Available Credit"
"Available Credit: ","Available Credit: "
"Last Payment","Last Payment"
"Edit","Edit"
"Credit Details","Credit Details"
"Custom Credit Limit","Custom Credit Limit"
"Use Config Value","Use Config Value"
"Update Balance","Update Balance"
"Amount","Amount"
"Amount to Add","Amount to Add"
"PO Number","PO Number"
"Comment","Comment"
"Changed","Changed"
"Updated","Updated"
"Purchased","Purchased"
"Canceled","Canceled"
"Refunded","Refunded"
"Order ID","Order ID"
"Credit Memo ID","Credit Memo ID"
"ID","ID"
"Date","Date"
"Credit History","Credit History"
"Action","Action"
"Comment to Admin","Comment to Admin"
"Comment to Customer","Comment to Customer"
"Customer ID is required","Customer ID is required"
"Transaction action is required","Transaction action is required"
"Transaction action type is not allowed","Transaction action type is not allowed"
"Amount is required","Amount is required"
"Credit limit is required","Credit limit is required"
"Please specify Credit Limit for customer before updating amount","Please specify Credit Limit for customer before updating amount"
"Purchase Order Number","Purchase Order Number"
"Purchase Order","Purchase Order"
"Available Credit Balance","Available Credit Balance"
"Insufficient credit funds","Insufficient credit funds"
"Available Credit will be exceeded by %1 with this order","Available Credit will be exceeded by %1 with this order"
"Amount Currency","Amount Currency"
"Aheadworks Extensions","Aheadworks Extensions"
"Email Notification Section","Email Notification Section"
"Send Email Notification When Credit Balance is Updated","Send Email Notification When Credit Balance is Updated"
"Email Sender","Email Sender"
"Email Template (Credit Balance is Updated)","Email Template (Credit Balance is Updated)"
"Your Credit Balance has been Updated","Your Credit Balance has been Updated"
"This request cannot be processed because your order amount exceeds your available credit amount","This request cannot be processed because your order amount exceeds your available credit amount"
"Assigned","Assigned"
"Credit limit is scheduled to be applied.","Credit limit is scheduled to be applied."
"Currency %1 is not allowed","Currency %1 is not allowed"
"Outstanding balances","Outstanding balances"
"Customer group has been changed","Customer group has been changed"
"Zero amount cannot be assigned as credit limit","Zero amount cannot be assigned as credit limit"
"Amount value is not correct","Amount value is not correct"
"Credit limit value is not correct","Credit limit value is not correct"
"Order %order_id","Order %order_id"
"Cancel created for order %order_id","Cancel created for order %order_id"
"Refund created for order %order_id","Refund created for order %order_id"
"General","General"
"Allow Customers to Update Credit Balance","Allow Customers to Update Credit Balance"
"Update the Balance","Update the Balance"
"Enter the amount","Enter the amount"
"Make a payment","Make a payment"
"Save","Save"
"Save and Continue Edit","Save and Continue Edit"
"Attention!","Attention!"
"Do you want to restart credit days counting?","Do you want to restart credit days counting?"
"Yes","Yes"
"No","No"
"Credit Terms","Credit Terms"
"Due Date","Due Date"
"Payment Period","Payment Period"
"(Payment Period for the Credit Limit (in days))","(Payment Period for the Credit Limit (in days))"
"Please update your balance to place orders","Please update your balance to place orders"
"Please update the balance to place the order","Please update the balance to place the order"
"Please update the credit balance to place the order","Please update the credit balance to place the order"
"Credit Balance should be paid in ","Credit Balance should be paid in "
" days after order is placed."," days after order is placed."
"Enable Auto-Generated Invoice","Enable Auto-Generated Invoice"
"Hint: an invoice is auto-generated after order is purchased","Hint: an invoice is auto-generated after order is purchased"
"Allowed Payment Methods","Allowed Payment Methods"
"Import","Import"
"Import File","Import File"
"Credit Update of Customers","Credit Update of Customers"
"Credit Update of Companies","Credit Update of Companies"
"Download Sample File","Download Sample File"
"Allow Exceeding Credit Limit","Allow Exceeding Credit Limit"
"Updated by Admin","Updated by Admin"
"Updated By","Updated By"
"Credit Period","Credit Period"
"Credit Period field is not available when Due Date is set","Credit Period field is not available when Due Date is set"
"This is required field","This is required field"
"Data validation failed. Please fix the following errors and upload the file again.","Data validation failed. Please fix the following errors and upload the file again."
"Updated by Customer","Updated by Customer"
"Send Reminder Every X Days After Credit Balance is Negative, days","Send Reminder Every X Days After Credit Balance is Negative, days"
"Hint: recipient - customer. If set 0, the option is disabled","Hint: recipient - customer. If set 0, the option is disabled"
"Email Template (Credit Balance Reminder)","Email Template (Credit Balance Reminder)"
"Credit Balance Reminder","Credit Balance Reminder"
"Dear %customer_name,","Dear %customer_name,"
"We kindly remind you that your current credit balance is  %credit_balance.","We kindly remind you that your current credit balance is  %credit_balance."
