Save,Save
Back,Back
"Export to PDF","Export to PDF"
"Please select a customer","Please select a customer"
ID,ID
Name,Name
Email,Email
Phone,Phone
"ZIP/Post Code","ZIP/Post Code"
Country,Country
State/Province,State/Province
"Signed-up Point","Signed-up Point"
Website,Website
"Edit Quote #%1","Edit Quote #%1"
"Edit ""%1""","Edit ""%1"""
"Create New Quote for %1 in %2","Create New Quote for %1 in %2"
"Create New Quote in %1","Create New Quote in %1"
"Create New Quote for %1","Create New Quote for %1"
"Create New Quote for New Customer","Create New Quote for New Customer"
"Comments and History","Comments and History"
"The information in this tab has been changed.","The information in this tab has been changed."
"This tab contains invalid data. Please resolve this before saving.","This tab contains invalid data. Please resolve this before saving."
Loading...,Loading...
"Order Totals","Order Totals"
"Please select products","Please select products"
"Add Selected Product(s) to Quote","Add Selected Product(s) to Quote"
Product,Product
SKU,SKU
Price,Price
Select,Select
Quantity,Quantity
"Quote & Account Information","Quote & Account Information"
Products,Products
"Sorry, you need permissions to view this content.","Sorry, you need permissions to view this content."
"This product is disabled.","This product is disabled."
Configure,Configure
"This product does not have any configurable options","This product does not have any configurable options"
"%1 with %2 discount each","%1 with %2 discount each"
"%1 for %2","%1 for %2"
"Shipping Address","Shipping Address"
"Shipping Method","Shipping Method"
"Shipping Information","Shipping Information"
"Please select a store","Please select a store"
"Quote Totals","Quote Totals"
"Negotiated Discount","Negotiated Discount"
"Sorry, %1 is not available for quoting. Please contact the merchant.","Sorry, %1 is not available for quoting. Please contact the merchant."
"Invalid response data.","Invalid response data."
"This Quote has been updated for some reasons. All details are in the History Log.","This Quote has been updated for some reasons. All details are in the History Log."
"This quote doesn't exist.","This quote doesn't exist."
Quotes,Quotes
"Quote item ID is required.","Quote item ID is required."
"Expiration date cannot be in the past","Expiration date cannot be in the past"
"Invalid input date format %1","Invalid input date format %1"
"Reminder date cannot be in the past","Reminder date cannot be in the past"
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"No records have been updated.","No records have been updated."
"Quote was duplicated successfully","Quote was duplicated successfully"
"Something went wrong while duplicating the quote","Something went wrong while duplicating the quote"
"Quote was saved successfully","Quote was saved successfully"
"Something went wrong while saving the quote","Something went wrong while saving the quote"
"Page not found.","Page not found."
"Something went wrong while save the quote.","Something went wrong while save the quote."
"Sorry, the quote is no more available, please contact the merchant for further details.","Sorry, the quote is no more available, please contact the merchant for further details."
"Quote %1","Quote %1"
"This quote doesn't exist","This quote doesn't exist"
"Something went wrong while duplicating the quote.","Something went wrong while duplicating the quote."
"My Quotes","My Quotes"
"We can't add this item.","We can't add this item."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Quote List","Quote List"
"%1 was updated in your quote list.","%1 was updated in your quote list."
"We can't update the item right now.","We can't update the item right now."
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"Something went wrong when requesting a quote.","Something went wrong when requesting a quote."
"File not found.","File not found."
"Please, add comment or(and) attach files.","Please, add comment or(and) attach files."
"Unknown template type","Unknown template type"
"The quote item cannot be loaded.","The quote item cannot be loaded."
"Total Cost","Total Cost"
"Catalog Total Price (Excl. Tax)","Catalog Total Price (Excl. Tax)"
